month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,bad_client_target
1,7000,12,39,male,Secondary special education,Cell phones,0,2,21000,Another,0,0,0
1,19000,6,20,male,Secondary special education,Household appliances,1,2,17000,Another,3,1,0
1,29000,12,23,female,Secondary special education,Household appliances,0,2,31000,Another,2,0,0
1,10000,12,30,male,Secondary special education,Cell phones,1,2,31000,Unmarried,3,1,0
1,14500,12,25,female,Higher education,Cell phones,0,2,26000,Married,0,1,0
1,32500,24,47,female,Secondary special education,Furniture,0,2,26000,Married,0,1,0
1,8000,3,23,male,Higher education,Computers,0,2,21000,Another,0,1,0
1,20000,10,25,female,Higher education,Household appliances,0,0,33000,Married,2,1,0
1,26000,6,21,female,Secondary special education,Cell phones,0,0,31000,Another,2,1,0
1,15000,24,25,female,Secondary special education,Household appliances,1,2,26000,Another,3,0,0
1,30000,12,32,female,Secondary special education,Household appliances,1,2,18000,Another,0,1,0
1,30500,12,38,male,Secondary special education,Cell phones,1,2,21000,Married,1,1,0
1,37000,18,62,female,Secondary special education,Household appliances,1,0,51000,Another,3,0,0
1,37000,18,29,male,Higher education,Cosmetics and beauty services,0,0,71000,Married,1,0,0
1,29500,12,26,male,Higher education,Household appliances,0,2,16000,Another,0,1,0
1,28500,12,22,female,Higher education,Household appliances,0,0,36000,Another,2,1,0
1,22000,10,64,male,Secondary special education,Household appliances,0,2,31000,Married,2,1,0
1,13000,6,20,male,Higher education,Household appliances,0,2,19000,Married,1,1,0
1,51000,6,56,male,Secondary special education,Household appliances,0,2,21000,Another,1,1,0
1,13500,12,27,female,Incomplete higher education,Cell phones,0,2,21000,Another,1,1,0
1,10000,11,42,male,Secondary special education,Household appliances,1,2,21000,Married,0,1,0
1,30000,12,49,male,Secondary education,Clothing,1,2,26000,Another,2,0,0
1,28000,18,36,male,Secondary special education,Cell phones,1,2,16000,Another,2,0,1
1,14000,10,25,female,Secondary special education,Cell phones,0,2,24000,Another,1,1,1
1,30000,12,24,female,Secondary special education,Computers,1,2,31000,Married,0,0,0
1,25000,6,30,female,Higher education,Cell phones,1,2,41000,Another,1,0,0
1,152000,36,48,female,Higher education,Windows & Doors,1,2,56000,Another,2,0,0
1,62000,12,62,male,Higher education,Clothing,0,0,41000,Another,3,1,0
1,18500,6,38,male,Higher education,Clothing,1,2,36000,Another,0,1,0
1,9500,10,38,female,Secondary special education,Cell phones,1,2,26000,Another,1,1,0
1,24500,12,28,male,Higher education,Cell phones,1,1,26000,Unmarried,0,1,0
1,26000,10,38,male,Higher education,Household appliances,1,0,51000,Another,3,0,0
1,15000,6,24,male,Incomplete higher education,Cell phones,1,2,36000,Another,2,0,0
1,8500,6,75,male,Secondary education,Household appliances,1,2,19000,Married,1,1,0
1,12000,10,58,male,Secondary special education,Household appliances,0,2,21000,Married,2,0,0
1,17500,12,23,male,Incomplete higher education,Cell phones,0,2,16000,Another,0,1,0
1,17000,6,42,male,Secondary special education,Household appliances,0,2,22000,Another,1,1,0
1,18000,6,56,female,Secondary education,Cell phones,0,2,36000,Unmarried,1,0,0
1,15000,6,21,female,Secondary special education,Cell phones,0,2,16000,Another,0,1,0
1,10500,6,39,male,Higher education,Household appliances,1,2,21000,Married,1,1,0
1,23500,18,31,male,Secondary special education,Household appliances,1,2,19000,Another,1,0,0
1,18000,6,27,male,Higher education,Cell phones,0,2,46000,Another,0,0,0
1,37500,3,40,female,Higher education,Household appliances,1,0,51000,Another,1,1,0
1,23500,11,54,male,Higher education,Fitness,0,2,31000,Another,1,1,0
1,40500,9,45,male,Secondary special education,Cosmetics and beauty services,1,0,31000,Married,2,1,0
1,28500,12,23,male,Secondary special education,Household appliances,1,2,18000,Married,1,1,0
1,25500,12,28,male,Higher education,Computers,0,2,26000,Another,0,0,0
1,11000,3,24,male,Secondary special education,Computers,0,2,26000,Another,2,1,0
1,16000,8,27,female,Secondary special education,Household appliances,0,2,26000,Unmarried,1,1,0
1,74500,24,30,female,Higher education,Furniture,1,0,51000,Another,0,1,0
1,24000,12,37,male,Higher education,Household appliances,0,1,41000,Another,1,0,0
1,31000,12,20,male,Incomplete higher education,Household appliances,0,2,26000,Another,0,1,0
1,66500,12,48,female,Secondary special education,Cell phones,0,1,111000,Another,0,0,0
1,13000,12,28,male,Higher education,Household appliances,1,2,19000,Unmarried,1,1,0
1,26500,24,58,female,Higher education,Household appliances,1,0,26000,Another,1,0,0
